Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_22,92,1,1,0,0,0,92,0,92,20.049,22,22,57.227,52.764,0,0.298,0.401,0.234,0.299,0.026,5.494,6.534,4.218,5.546,0.445
Track_23,99,1,1,0,0,0,99,0,99,26.587,23,23,26.097,56.016,0,0.297,0.412,0.192,0.297,0.032,5.241,6.430,4.062,5.219,0.422
Track_24,68,1,1,0,0,0,68,0,68,17.999,24,24,47.786,59.220,0,0.302,0.578,0.133,0.305,0.061,3.241,4.132,2.414,3.291,0.396
Track_26,52,1,1,0,0,0,52,0,52,14.735,26,26,7.559,61.443,0,0.300,0.631,0.000,0.290,0.082,4.738,6.487,3.607,4.634,0.625
Track_29,99,1,1,0,0,0,99,0,99,25.323,29,29,48.177,58.609,0,0.301,0.438,0.121,0.299,0.062,2.829,3.828,2.055,2.786,0.358
Track_38,98,2,1,0,0,0,99,0,99,28.321,38,38,29.205,25.097,0,0.298,0.439,0.204,0.298,0.038,4.667,5.656,3.623,4.727,0.401
Track_39,99,1,1,0,0,0,99,0,99,27.035,39,39,34.850,24.692,0,0.298,0.386,0.200,0.300,0.041,3.928,5.485,3.003,3.920,0.431
Track_40,99,1,1,0,0,0,99,0,99,25.799,40,40,51.661,26.909,0,0.297,0.394,0.214,0.296,0.031,4.590,5.578,3.750,4.596,0.380
Track_42,98,2,1,0,0,0,99,0,99,28.662,42,42,53.393,22.630,0,0.298,0.379,0.246,0.296,0.030,5.681,9.412,3.890,5.562,0.884
Track_43,73,1,1,0,0,0,73,0,73,19.502,43,43,4.010,29.347,0,0.298,0.476,0.133,0.297,0.043,4.627,6.574,2.972,4.658,0.481
Track_46,99,1,1,0,0,0,99,0,99,26.767,46,46,24.265,11.653,0,0.296,0.570,0.000,0.297,0.049,5.619,7.977,3.441,5.600,0.533
Track_47,69,3,1,0,0,0,71,0,71,20.391,47,47,58.119,27.315,0,0.301,0.658,0.199,0.299,0.060,4.338,7.138,3.367,4.344,0.577
Track_50,99,1,1,0,0,0,99,0,99,25.700,50,50,44.757,32.751,0,0.297,0.407,0.224,0.297,0.025,6.078,7.139,4.514,6.118,0.469
Track_52,57,0,0,0,0,0,56,3,59,11.223,52,52,22.703,34.376,0,0.299,0.365,0.199,0.300,0.040,3.897,4.883,2.681,3.961,0.434
Track_63,81,0,0,0,0,0,80,19,99,17.807,63,63,38.281,42.641,0,0.297,0.373,0.225,0.295,0.030,5.581,6.597,4.045,5.585,0.487
Track_64,80,0,0,0,0,0,79,20,99,21.705,64,64,53.663,30.175,0,0.297,0.370,0.222,0.296,0.029,4.978,5.934,3.821,4.999,0.384
Track_66,79,0,0,0,0,0,78,21,99,22.615,66,66,48.253,30.912,0,0.298,0.374,0.193,0.300,0.034,4.894,5.657,4.044,4.957,0.408
Track_73,71,0,0,0,0,0,70,29,99,19.820,73,73,37.439,41.153,0,0.298,0.348,0.219,0.301,0.027,5.490,7.087,4.520,5.492,0.469
Track_77,57,1,1,0,0,0,57,35,92,16.357,77,77,43.048,35.708,0,0.298,0.473,0.204,0.295,0.053,3.183,4.766,2.312,3.159,0.492
Track_78,64,0,0,0,0,0,63,36,99,16.224,78,78,57.028,48.135,0,0.297,0.371,0.217,0.298,0.034,4.816,5.826,3.774,4.809,0.438
Track_81,57,2,1,0,0,0,58,41,99,16.457,81,81,33.429,49.447,0,0.303,0.410,0.156,0.307,0.057,2.825,3.551,2.136,2.847,0.343
Track_82,59,0,0,0,0,0,58,41,99,16.866,82,82,6.850,42.920,0,0.299,0.482,0.177,0.290,0.060,2.899,3.902,2.139,2.846,0.475
Track_84,55,1,2,0,0,0,56,43,99,15.408,84,84,44.191,24.526,0,0.300,0.468,0.114,0.290,0.061,3.405,4.500,2.417,3.325,0.511
Track_87,53,0,0,0,0,0,52,47,99,14.414,87,87,32.666,39.987,0,0.301,0.402,0.183,0.298,0.050,2.948,4.089,2.024,2.982,0.447
Track_88,52,0,0,0,0,0,51,48,99,14.648,88,88,59.593,55.829,0,0.300,0.412,0.179,0.307,0.049,3.075,3.925,2.058,3.053,0.431
